year,city,country,avg_temp
1880,London,United Kingdom,9.35
1881,London,United Kingdom,8.71
1882,London,United Kingdom,9.43
1883,London,United Kingdom,9.21
1884,London,United Kingdom,9.86
1885,London,United Kingdom,8.68
1886,London,United Kingdom,8.80
1887,London,United Kingdom,8.39
1888,London,United Kingdom,8.31
1889,London,United Kingdom,8.91
1890,London,United Kingdom,8.86
1891,London,United Kingdom,8.65
1892,London,United Kingdom,8.35
1893,London,United Kingdom,10.05
1894,London,United Kingdom,9.42
1895,London,United Kingdom,8.91
1896,London,United Kingdom,9.41
1897,London,United Kingdom,9.50
1898,London,United Kingdom,10.08
1899,London,United Kingdom,9.85
1900,London,United Kingdom,9.73
1901,London,United Kingdom,9.20
1902,London,United Kingdom,8.95
1903,London,United Kingdom,9.45
1904,London,United Kingdom,9.18
1905,London,United Kingdom,9.25
1906,London,United Kingdom,9.62
1907,London,United Kingdom,9.03
1908,London,United Kingdom,9.31
1909,London,United Kingdom,8.70
1910,London,United Kingdom,9.39
1911,London,United Kingdom,10.22
1912,London,United Kingdom,9.57
1913,London,United Kingdom,9.89
1914,London,United Kingdom,9.98
1915,London,United Kingdom,9.07
1916,London,United Kingdom,9.28
1917,London,United Kingdom,8.65
1918,London,United Kingdom,9.60
1919,London,United Kingdom,8.48
1920,London,United Kingdom,9.67
1921,London,United Kingdom,10.60
1922,London,United Kingdom,8.81
1923,London,United Kingdom,9.17
1924,London,United Kingdom,9.34
1925,London,United Kingdom,9.31
1926,London,United Kingdom,9.83
1927,London,United Kingdom,9.25
1928,London,United Kingdom,9.69
1929,London,United Kingdom,9.09
1930,London,United Kingdom,9.70
1931,London,United Kingdom,9.12
1932,London,United Kingdom,9.57
1933,London,United Kingdom,9.96
1934,London,United Kingdom,10.11
1935,London,United Kingdom,9.90
1936,London,United Kingdom,9.43
1937,London,United Kingdom,9.69
1938,London,United Kingdom,10.18
1939,London,United Kingdom,9.77
1940,London,United Kingdom,9.06
1941,London,United Kingdom,9.09
1942,London,United Kingdom,9.10
1943,London,United Kingdom,10.19
1944,London,United Kingdom,9.62
1945,London,United Kingdom,10.39
1946,London,United Kingdom,9.58
1947,London,United Kingdom,9.75
1948,London,United Kingdom,10.16
1949,London,United Kingdom,10.63
1950,London,United Kingdom,9.75
1951,London,United Kingdom,9.52
1952,London,United Kingdom,9.35
1953,London,United Kingdom,9.95
1954,London,United Kingdom,9.35
1955,London,United Kingdom,9.39
1956,London,United Kingdom,8.87
1957,London,United Kingdom,10.26
1958,London,United Kingdom,9.66
1959,London,United Kingdom,10.63
1960,London,United Kingdom,9.88
1961,London,United Kingdom,10.20
1962,London,United Kingdom,8.65
1963,London,United Kingdom,8.48
1964,London,United Kingdom,9.53
1965,London,United Kingdom,9.03
1966,London,United Kingdom,9.59
1967,London,United Kingdom,9.81
1968,London,United Kingdom,9.48
1969,London,United Kingdom,9.47
1970,London,United Kingdom,9.69
1971,London,United Kingdom,9.89
1972,London,United Kingdom,9.41
1973,London,United Kingdom,9.75
1974,London,United Kingdom,9.70
1975,London,United Kingdom,9.99
1976,London,United Kingdom,10.28
1977,London,United Kingdom,9.69
1978,London,United Kingdom,9.41
1979,London,United Kingdom,9.06
1980,London,United Kingdom,9.54
1981,London,United Kingdom,9.38
1982,London,United Kingdom,10.07
1983,London,United Kingdom,10.12
1984,London,United Kingdom,9.75
1985,London,United Kingdom,9.00
1986,London,United Kingdom,8.94
1987,London,United Kingdom,9.22
1988,London,United Kingdom,9.82
1989,London,United Kingdom,10.76
1990,London,United Kingdom,10.94
1991,London,United Kingdom,9.67
1992,London,United Kingdom,10.15
1993,London,United Kingdom,9.69
1994,London,United Kingdom,10.48
1995,London,United Kingdom,10.55
1996,London,United Kingdom,9.27
1997,London,United Kingdom,10.64
1998,London,United Kingdom,10.40
1999,London,United Kingdom,10.86
2000,London,United Kingdom,10.52
2001,London,United Kingdom,10.18
2002,London,United Kingdom,10.91
2003,London,United Kingdom,10.81
2004,London,United Kingdom,10.77
2005,London,United Kingdom,10.63
2006,London,United Kingdom,11.10
2007,London,United Kingdom,10.83
2008,London,United Kingdom,10.38
2009,London,United Kingdom,10.52
2010,London,United Kingdom,9.38
2011,London,United Kingdom,11.19
2012,London,United Kingdom,10.00
2013,London,United Kingdom,9.91
